Sequence name,Lineage,Probability,Most common countries,Number of taxa,Date range,Days since last sampling
USA/NY-NYUMC339/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC34/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC340/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC341/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC342/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC343/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC345/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC346/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC347/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC348/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC349/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC35/2020,A,1.0,"China, India, Japan",409,"January-05, August-04",46
USA/NY-NYUMC350/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC351/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC352/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC353/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC354/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC355/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC356/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC357/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC358/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC359/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC36/2020,B.2,1.0,"UK, USA, Spain",1793,"January-16, July-22",59
USA/NY-NYUMC360/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC361/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC362/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC363/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC364/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC365/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC366/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC368/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC369/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC37/2020,A,1.0,"China, India, Japan",409,"January-05, August-04",46
USA/NY-NYUMC370/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC371/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC372/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC373/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC375/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC377/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC379/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC38/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC380/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC381/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC382/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC383/2020,B.1.5,1.0,"UK, Spain, USA",2490,"February-26, August-16",34
USA/NY-NYUMC384/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC385/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",29
USA/NY-NYUMC386/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC387/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC388/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC389/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC39/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",50
USA/NY-NYUMC390/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC391/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC392/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC393/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC394/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC395/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC396/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC397/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC398/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC399/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC4/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC40/2020,B,1.0,"UK, China, USA",1096,"December-24, July-02",79
USA/NY-NYUMC400/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC402/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC403/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC404/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC405/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",55
USA/NY-NYUMC406/2020,B.1.1.64,1.0,"UK, Australia, France",213,"March-11, July-05",76
USA/NY-NYUMC407/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC408/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC409/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC41/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC410/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC411/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC412/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC413/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC414/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC415/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC417/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC418/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC419/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC42/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",53
USA/NY-NYUMC420/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC422/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC423/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC424/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC425/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC426/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC427/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC428/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC429/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC43/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",29
USA/NY-NYUMC430/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC431/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC432/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC433/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC434/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC435/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC436/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC437/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC438/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC439/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC44/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",29
USA/NY-NYUMC440/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC441/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC442/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC443/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC444/2020,B.1,0.86,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC445/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC446/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC447/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC448/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC449/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC45/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",55
USA/NY-NYUMC450/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC451/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC453/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC454/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC455/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC456/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC457/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC458/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC459/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC46/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC460/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC461/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",55
USA/NY-NYUMC462/2020,B.1.108,1.0,USA,15,"March-18, April-27",145
USA/NY-NYUMC463/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC464/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC465/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC466/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC467/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC468/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC469/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC47/2020,B.2.1,1.0,"UK, Australia, USA",2157,"February-09, July-20",61
USA/NY-NYUMC470/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC471/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC472/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC473/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC474/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC475/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC476/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC477/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC478/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC479/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC48/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC480/2020,B.1.108,1.0,USA,15,"March-18, April-27",145
USA/NY-NYUMC481/2020,B.1.2,1.0,"USA, UK, Australia",919,"March-09, July-21",60
USA/NY-NYUMC482/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC483/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC484/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC485/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC486/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC487/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC488/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC489/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC49/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC490/2020,A.1,1.0,"USA, Australia, Canada",987,"February-25, July-14",67
USA/NY-NYUMC491/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC492/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC493/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC494/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC495/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC496/2020,B.2,1.0,"UK, USA, Spain",1793,"January-16, July-22",59
USA/NY-NYUMC497/2020,B.2,1.0,"UK, USA, Spain",1793,"January-16, July-22",59
USA/NY-NYUMC498/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC499/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC5/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC50/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC500/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC501/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC502/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC503/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC504/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC505/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC506/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",51
USA/NY-NYUMC507/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC508/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC509/2020,B.1.1.33,1.0,"Brazil, USA, Argentina",203,"March-07, July-06",75
USA/NY-NYUMC51/2020,B.1,0.86,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC510/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC511/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC512/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC513/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC514/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC515/2020,A.1,1.0,"USA, Australia, Canada",987,"February-25, July-14",67
USA/NY-NYUMC516/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC517/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC518/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC519/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC52/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC520/2020,A.1,1.0,"USA, Australia, Canada",987,"February-25, July-14",67
USA/NY-NYUMC521/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC522/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC523/2020,B.1.21,1.0,"USA, Panama",214,"March-10, July-11",70
USA/NY-NYUMC524/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC525/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC526/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC527/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC528/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",29
USA/NY-NYUMC529/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC53/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC530/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC531/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC532/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC533/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC534/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC535/2020,A,1.0,"China, India, Japan",409,"January-05, August-04",46
USA/NY-NYUMC536/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC537/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",55
USA/NY-NYUMC539/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC54/2020,B.1.1,0.98,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC540/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC541/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC542/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",55
USA/NY-NYUMC543/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC544/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC545/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC546/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC547/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC548/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC549/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC55/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC550/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC551/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC552/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC554/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC555/2020,B.1.115,1.0,"UK, Israel",30,"March-22, July-21",60
USA/NY-NYUMC556/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC557/2020,B,1.0,"UK, China, USA",1096,"December-24, July-02",79
USA/NY-NYUMC558/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC559/2020,B.1.166,1.0,USA,38,"March-04, June-10",101
USA/NY-NYUMC56/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC560/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC561/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC562/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC563/2020,B.1.5,1.0,"UK, Spain, USA",2490,"February-26, August-16",34
USA/NY-NYUMC564/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC565/2020,A.3,1.0,"USA, UK, Australia",232,"January-28, June-10",101
USA/NY-NYUMC566/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC567/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC568/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC569/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC57/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC570/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC571/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC572/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC573/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC574/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC575/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC576/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC577/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC578/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC579/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC58/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC580/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC581/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC582/2020,B.1.2,1.0,"USA, UK, Australia",919,"March-09, July-21",60
USA/NY-NYUMC583/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC584/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC585/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC586/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC587/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC588/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC589/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC59/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC590/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC591/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC592/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC593/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC594/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC595/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC596/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC597/2020,B.1.108,1.0,USA,15,"March-18, April-27",145
USA/NY-NYUMC598/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC599/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC6/2020,B.1.106,1.0,"South_Africa, USA, Spain",36,"March-16, July-17",64
USA/NY-NYUMC60/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",55
USA/NY-NYUMC600/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC601/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC602/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
