Sequence name,Lineage,Probability,Most common countries,Number of taxa,Date range,Days since last sampling
USA/NY-NYUMC212/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC213/2020,B.1.1,1.0,"UK, USA, Portugal",15735,"February-16, August-17",33
USA/NY-NYUMC214/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC215/2020,B.1,0.86,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC216/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC217/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC218/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC219/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC22/2020,B,1.0,"UK, China, USA",1096,"December-24, July-02",79
USA/NY-NYUMC220/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC221/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC222/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC223/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC224/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC225/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC226/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC227/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC228/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC229/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC23/2020,B.2,1.0,"UK, USA, Spain",1793,"January-16, July-22",59
USA/NY-NYUMC230/2020,B.1.108,1.0,USA,15,"March-18, April-27",145
USA/NY-NYUMC231/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC232/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC233/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",55
USA/NY-NYUMC234/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC235/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC236/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC237/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC238/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC239/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",29
USA/NY-NYUMC24/2020,A.3,1.0,"USA, UK, Australia",232,"January-28, June-10",101
USA/NY-NYUMC240/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC241/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC242/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC243/2020,B.2,1.0,"UK, USA, Spain",1793,"January-16, July-22",59
USA/NY-NYUMC244/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC245/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC246/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC247/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC248/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC249/2020,B.1.5,1.0,"UK, Spain, USA",2490,"February-26, August-16",34
USA/NY-NYUMC25/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC250/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC251/2020,B.1,0.86,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC252/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC253/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC254/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC255/2020,B.1,0.86,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC256/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC257/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC258/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC259/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC26/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC260/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC261/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC262/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC263/2020,B.2,1.0,"UK, USA, Spain",1793,"January-16, July-22",59
